ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,peTTM,pbMRQ,psTTM,pcfNcfTTM
600519.SH,20151214,210.19,214.88,209.0,214.1,211.41,2.69,1.27,20701.34,439584.116,16.724710,4.493910,7.962276,32.259975
600519.SH,20151215,213.8,214.59,212.08,214.51,214.1,0.41,0.19,15088.39,321828.819,16.756738,4.502516,7.977524,32.321752
600519.SH,20151216,214.41,214.64,212.59,213.91,214.51,-0.6,-0.28,20144.8,430371.563,16.709868,4.489922,7.955210,32.231346
600519.SH,20151217,214.39,216.88,214.0,215.86,213.91,1.95,0.91,24253.21,523818.38,16.862195,4.530852,8.027730,32.525166
600519.SH,20151218,215.5,219.15,215.11,216.88,215.86,1.02,0.47,28460.2,618897.538,16.941873,4.552262,8.065663,32.678857
600519.SH,20151221,218.0,229.18,218.0,227.03,216.88,10.15,4.68,59391.89,1341466.585,17.734754,4.765308,8.443136,34.208230
600519.SH,20151222,226.8,226.8,223.28,225.03,227.03,-2.0,-0.88,28402.45,638684.794,17.578522,4.723329,8.368757,33.906876
600519.SH,20151223,225.45,226.69,222.7,223.0,225.03,-2.03,-0.9,22374.97,501438.271,17.419946,4.680719,8.293263,33.601001
600519.SH,20151224,223.98,225.68,223.2,224.78,223.0,1.78,0.8,15577.88,350137.309,17.558993,4.718081,8.359460,33.869206
600519.SH,20151225,225.0,225.66,222.88,224.5,224.78,-0.28,-0.12,11542.95,258870.006,17.537120,4.712204,8.349047,33.827017
600519.SH,20151228,225.48,226.0,219.0,219.12,224.5,-5.38,-2.4,25594.52,569404.122,17.116854,4.599279,8.148967,33.016374
600519.SH,20151229,218.62,220.44,218.51,219.83,219.12,0.71,0.32,15774.33,345982.477,17.172317,4.614182,8.175372,33.123355
600519.SH,20151230,220.18,220.66,217.52,218.86,219.83,-0.97,-0.44,20147.66,440489.185,17.096544,4.593822,8.139298,32.977198
600519.SH,20151231,218.22,219.5,217.82,218.19,218.86,-0.67,-0.31,19673.87,429872.169,17.044206,4.579759,8.114381,32.876244
600519.SH,20160104,218.0,218.0,209.99,210.02,218.19,-8.17,-3.74,17349.69,371909.829,16.405995,4.408272,7.810543,31.645212
600519.SH,20160105,210.0,213.97,207.51,212.82,210.02,2.8,1.33,31908.91,672596.329,16.624721,4.467044,7.914673,32.067108
600519.SH,20160106,212.78,213.66,209.3,212.18,212.82,-0.64,-0.3,23760.9,502483.565,16.574727,4.453610,7.890872,31.970675
600519.SH,20160107,208.99,208.99,200.03,202.23,212.18,-9.95,-4.69,8148.68,167829.92,15.797469,4.244762,7.520836,30.471437
